StationNumber,StationName,Alt,longitude,latitude,County,Address,datatime,Auto
C0Z100,東華,36,121.5498,23.8953,花蓮縣,壽豐鄉大學路二段1號（國立東華大學）,2014/1/1,1
C0Z150,吉安光華,27,121.5952,23.9309,花蓮縣,吉安鄉南濱路一段531號(水資源回收中心),2017/6/3,1
C0Z160,鳳林,124,121.4534,23.7461,花蓮縣,鳳林鎮信義路200號(鳳林地政事務所),2017/6/3,1
C0Z170,卓溪,199,121.3033,23.3443,花蓮縣,卓溪鄉卓溪村中正路65-5號(卓溪鄉立圖書館),2017/12/1,1
C0Z180,新城,34,121.6045,24.0395,花蓮縣,新城鄉大漢村光復路570號(新城鄉公所),2017/12/1,1
C0Z190,富世,62,121.6297,24.1474,花蓮縣,秀林鄉富世村127號(富世國小校園內),2017/12/1,1
C0Z200,萬榮,153,121.4201,23.7092,花蓮縣,鳳林鎮長橋里長橋路2號(長橋國小),2017/6/3,1
C0Z210,瑞穗,126,121.3902,23.5239,花蓮縣,瑞穗鄉鶴岡村167號(鶴岡國小),2017/12/1,1
C0Z220,和平林道,589,121.6563,24.3439,花蓮縣,秀林鄉臺電公司東部發電廠碧海機組廠區內(進入管制哨約7公里處),2018/3/23,1
C0Z230,和平,31,121.7701,24.3072,花蓮縣,秀林鄉克來寶段399地號(和平工業港安檢所綠洲分隊),2017/12/1,1
C0Z250,瑞穗林道,1124,121.3069,23.4928,花蓮縣,卓溪鄉瑞穗林道約7.5K瑞欣礦區下方空地,2017/12/1,1
C0Z270,蕃薯寮,343,121.5401,23.7384,花蓮縣,壽豐鄉水璉村蕃薯寮附近山區道路旁(牛山段607地號內),2017/6/3,1
C0Z280,德武,224,121.4107,23.4743,花蓮縣,玉里鎮德武里附近山區道路旁(德武段680地號內),2017/12/1,1
C0Z290,赤柯山,946,121.3829,23.3689,花蓮縣,玉里鎮赤柯山段338地號,2017/12/1,1
C0Z300,東里,182,121.3055,23.2685,花蓮縣,富里鄉東里村大莊路52號(東里消防分隊),2017/12/1,1
C0Z310,清水斷崖,59,121.6891,24.2183,花蓮縣,秀林鄉臺9線大清水遊憩區下方空地,2018/3/23,1
C0Z320,清水林道,646,121.1883,23.2713,花蓮縣,卓溪鄉清水林道北側山區(新生段1地號),2018/5/9,1
C0Z330,安通山,488,121.3485,23.2907,花蓮縣,玉里鎮安通產業道路附近山區,2018/5/9,1
C1A630,下盆,527,121.5386,24.771,新北市,烏來區東勢溪中游(步行一小時),1987/6/1,1
C1A9N0,四十份,435,121.5933,24.9342,新北市,新店區北宜路旁(文山事業區第四林班),2000/6/1,1
