gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
3325009177,848f7570-f762-11e1-a439-00145eb45e9a,308c40b3-6a5e-4a40-8990-cdc63d681c63,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Okinawa Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,26.6923,128.269,,,,,,,35393,24,11,1996,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,8504242,,,,CC_BY_4_0,,,,,45213.53814,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324967592,848f7570-f762-11e1-a439-00145eb45e9a,f385db07-a5d6-47fa-9029-2dba558f9903,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Okinawa Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,26.8004,128.2764,,,394,,,,41612,4,12,2013,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,1203254,17247,,,CC_BY_4_0,,,,,45213.53828,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324940332,848f7570-f762-11e1-a439-00145eb45e9a,6e6fd4ff-83c6-4e31-b328-a32935fa1220,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kagoshima Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,28.4,129.4,,,,,,,40158,11,12,2009,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,1103806,12283,,,CC_BY_4_0,,,,,45213.53801,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324855493,848f7570-f762-11e1-a439-00145eb45e9a,d14705df-d943-43fd-a270-a7e2a09c5b32,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kagoshima Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,27.4,128.6,,,,,,,20761,2,11,1956,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,958905,JH008905,,,CC_BY_4_0,,,,,45213.53794,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324800553,848f7570-f762-11e1-a439-00145eb45e9a,51cc5924-e65a-4afd-8b48-48c57070385e,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kagoshima Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,31.1,130.8,,,,,,,24046,31,10,1965,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,958906,JH008906,,,CC_BY_4_0,,,,,45213.53818,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324799560,848f7570-f762-11e1-a439-00145eb45e9a,fd6a6702-56ed-4444-bf1e-5b7456d71ffb,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kagoshima Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,30.3,130.7,,,,,,,24413,2,11,1966,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,958904,JH008904,,,CC_BY_4_0,,,,,45213.53818,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324678417,848f7570-f762-11e1-a439-00145eb45e9a,1a7fce4c-2a76-4f7c-88fb-7bc5c8afef98,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kagoshima Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,30.5,130.9,,,,,,,41329,24,2,2013,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,1183843,15481,,,CC_BY_4_0,,,,,45213.53801,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324614645,848f7570-f762-11e1-a439-00145eb45e9a,0129fe4a-89b1-4e6d-a545-049fa4d94258,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,Makino,JP,,Kochi Pref.,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,33.5,133.9,,,,,,,39468,21,1,2008,3941101,3941101,PRESERVED_SPECIMEN,TNS,VS,9543558,10182,,,CC_BY_4_0,,,,,45213.53821,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3324113495,95eebc5e-f762-11e1-a439-00145eb45e9a,4b2654f0-addd-4931-963a-c3a6e3b055ba,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi Makino,,JP,", , Yonaha-dake",Okinawa Prefecture,PRESENT,,4fd82480-ea1c-11da-8db4-b8a03c50a862,26.75556,128.22537,,,,,,,37548,19,10,2002,3941101,3941101,PRESERVED_SPECIMEN,KPM,NA,KPM-NA0209304,,,,CC_BY_4_0,,,,,45213.5351,,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3308250003,8016518a-f762-11e1-a439-00145eb45e9a,53fa33de6f390c7bd6f27443488b7eb0,Plantae,Tracheophyta,Magnoliopsida,Ericales,Mitrastemonaceae,Mitrastemon,Mitrastemon yamamotoi,,SPECIES,Mitrastemon yamamotoi (Makino) Makino,Mitrastemon yamamotoi,Makino,MX,"Nitinan, Miyazaki-ken, Nippon",,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,,,,,100,,,,25904,2,12,1970,3941101,3941101,PRESERVED_SPECIMEN,IBUNAM,MEXU,152619,,,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),E. Matuda,,,45176.70214,,CONTINENT_DERIVED_FROM_COUNTRY;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
