Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 08:42:08 PM,25.263,55.2191,← 285°,255,293,"4,550","-1,094 Descending", FlightAware ADS-B (NHD / OMDM)
Mon 08:42:26 PM,25.2681,55.1977,← 287°,244,281,"4,250",-920 Descending, FlightAware ADS-B (AZI / OMAD)
Mon 08:42:52 PM,25.2816,55.1695,← 301°,234,269,"3,875",-792 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:43:19 PM,25.2967,55.1439,← 307°,222,255,"3,550",-733 Descending, FlightAware ADS-B (DWC / OMDW)
Mon 08:43:37 PM,25.3122,55.1312,↑ 339°,208,239,"3,325",-574 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:43:53 PM,25.3256,55.1311,↑ 14°,192,221,"3,225",-375 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:44:09 PM,25.3389,55.1379,↗ 36°,187,215,"3,125",-316 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:44:31 PM,25.3522,55.1538,↗ 55°,188,216,"3,025",-308 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:44:48 PM,25.3578,55.1687,→ 82°,188,216,"2,925",-308 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:45:10 PM,25.3542,55.188,↘ 116°,187,215,"2,825",-321 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:45:30 PM,25.3455,55.2047,↘ 122°,188,216,"2,700",-402 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:45:51 PM,25.3361,55.2211,↘ 122°,174,200,"2,550",-706 Descending, FlightAware ADS-B (AZI / OMAD)
Mon 08:46:21 PM,25.3238,55.2436,↘ 121°,164,189,"2,100",-850 Descending, FlightAware ADS-B (RKT / OMRK)
Mon 08:46:51 PM,25.312,55.2648,↘ 121°,164,189,"1,700",-783 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:47:07 PM,25.3062,55.2754,↘ 122°,157,181,"1,500",-766 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:47:38 PM,25.2949,55.2956,↘ 122°,143,165,"1,100",-792 Descending, FlightAware ADS-B (NHD / OMDM)
Mon 08:47:43 PM,25.2931,55.2989,↘ 121°,143,165,"1,025",-750 Descending, Surface and Near-Surface
Mon 08:47:54 PM,25.2894,55.3056,↘ 121°,144,166,900,-722 Descending, FlightAware ADS-B (AZI / OMAD)
Mon 08:48:10 PM,25.2837,55.3161,↘ 121°,144,166,700,-686 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:48:29 PM,25.2775,55.3272,↘ 121°,144,166,500,-686 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:48:45 PM,25.2716,55.3378,↘ 121°,144,166,300,-771 Descending, FlightAware ADS-B (DXB / OMDB)
Mon 08:49:04 PM,25.2652,55.3495,↘ 122°,142,163,50,-789 Descending, FlightAware ADS-B (DXB / OMDB)
