Time(EDT,Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Mon 12:54:58 PM,21.1164,114.7988,← 269°,449,517,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:55:28 PM,21.1146,114.7323,← 268°,450,518,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:55:58 PM,21.1128,114.6654,← 268°,450,518,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:56:29 PM,21.1109,114.5971,← 268°,451,519,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:56:59 PM,21.109,114.53,← 268°,451,519,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:57:29 PM,21.1072,114.4631,← 268°,452,520,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:57:59 PM,21.1053,114.3967,← 268°,452,520,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:58:29 PM,21.1033,114.3289,← 268°,451,519,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:58:59 PM,21.1013,114.2612,← 268°,450,518,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 12:59:29 PM,21.0993,114.1938,← 268°,450,518,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:00:04 PM,21.0969,114.1167,← 268°,451,519,"36,000", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:00:34 PM,21.0948,114.0496,← 268°,452,520,"36,000", Level, FlightAware ADS-B (VHSK)
Mon 01:01:06 PM,21.0926,113.9792,← 268°,452,520,"36,000",103 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 01:01:32 PM,21.0905,113.9185,← 266°,452,520,"36,100",103 Climbing, FlightAware ADS-B (HKG / VHHH)
Mon 01:02:04 PM,21.0832,113.8459,← 263°,453,521,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:02:44 PM,21.0739,113.7618,← 264°,452,520,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:03:14 PM,21.0674,113.6942,← 264°,451,519,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:03:44 PM,21.0611,113.6274,← 264°,450,518,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:04:14 PM,21.0546,113.5603,← 264°,451,519,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:04:44 PM,21.0482,113.4933,← 264°,451,519,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:05:14 PM,21.042,113.4293,← 264°,452,520,"36,100", Level, FlightAware ADS-B (VHSK)
Mon 01:05:45 PM,21.0352,113.3594,← 264°,452,520,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:06:15 PM,21.0285,113.2917,← 264°,453,521,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:06:48 PM,21.0212,113.2165,← 264°,453,521,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:07:18 PM,21.0145,113.1488,← 264°,455,524,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:07:49 PM,21.0078,113.0813,← 264°,455,524,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:08:19 PM,21.0011,113.0143,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:08:50 PM,20.9943,112.9464,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:09:20 PM,20.9877,112.8795,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:09:50 PM,20.9809,112.8116,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:10:20 PM,20.974,112.7441,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:10:53 PM,20.9666,112.671,← 264°,457,526,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:11:51 PM,20.9533,112.5407,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:12:21 PM,20.9464,112.4737,← 264°,455,524,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:13:11 PM,20.9349,112.3622,← 264°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:13:51 PM,20.9256,112.2724,← 264°,457,526,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:14:22 PM,20.9183,112.2034,← 264°,457,526,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:14:52 PM,20.9112,112.1354,← 264°,457,526,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:15:22 PM,20.9041,112.0679,← 264°,458,527,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:15:52 PM,20.8969,111.9999,← 264°,457,526,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:16:46 PM,20.8843,111.8801,← 264°,455,524,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:17:18 PM,20.8767,111.8094,← 264°,453,521,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:18:23 PM,20.8612,111.6645,← 263°,454,522,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:18:54 PM,20.854,111.5975,← 264°,453,521,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:19:29 PM,20.8524,111.5184,← 273°,454,522,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:19:59 PM,20.8592,111.4497,← 279°,454,522,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:20:17 PM,20.8668,111.4129,← 287°,456,525,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:21:07 PM,20.9127,111.3086,← 295°,459,528,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:22:04 PM,20.9642,111.1894,← 295°,460,529,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:22:47 PM,20.9959,111.0966,← 290°,465,535,"36,100", Level, FlightAware ADS-B (HKG / VHHH)
Mon 01:24:56 PM,21.0599,110.8585,← 286°,,,, Level, Estimated
Mon 01:26:55 PM,21.1186,110.6387,← 286°,,,, Level, Estimated
Mon 01:27:55 PM,21.1481,110.5279,← 286°,,,, Level, Estimated
Mon 01:29:39 PM,21.2526,110.2121,← 298°,462,532,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:30:11 PM,21.2838,110.1494,← 298°,463,533,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:30:41 PM,21.3149,110.0874,← 298°,462,532,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:31:11 PM,21.3456,110.0262,← 298°,461,531,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:31:41 PM,21.3759,109.966,← 298°,462,532,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:32:14 PM,21.409,109.9,← 298°,463,533,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:33:07 PM,21.4619,109.7942,← 298°,464,534,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:34:57 PM,21.5146,109.59,← 286°,,,, Level, Estimated
Mon 01:36:50 PM,21.7126,109.3546,← 310°,468,539,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:37:20 PM,21.7547,109.3002,← 310°,467,537,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:37:50 PM,21.7966,109.2464,← 310°,466,536,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:38:20 PM,21.8385,109.1927,← 310°,468,539,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:38:51 PM,21.8809,109.1385,← 310°,468,539,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:39:21 PM,21.9225,109.0851,← 310°,468,539,"36,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:39:51 PM,21.9636,109.0328,← 310°,466,536,"36,100",217 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:40:30 PM,22.0187,108.9625,← 310°,466,536,"36,350",543 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:41:00 PM,22.0598,108.9098,← 310°,467,537,"36,725",750 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:41:30 PM,22.1023,108.8553,← 310°,467,537,"37,100",700 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:42:00 PM,22.143,108.803,← 310°,468,539,"37,425",775 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:42:30 PM,22.1854,108.7486,← 310°,464,534,"37,875",675 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:43:00 PM,22.2274,108.6946,← 310°,464,534,"38,100",225 Climbing, FlightAware ADS-B (HPH / VVCI)
Mon 01:43:30 PM,22.2687,108.6416,← 310°,465,535,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:44:00 PM,22.31,108.5884,← 310°,464,534,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:44:31 PM,22.3513,108.5353,← 310°,462,532,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:45:01 PM,22.3929,108.4815,← 310°,461,531,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:45:37 PM,22.4418,108.4184,← 310°,459,528,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:46:30 PM,22.514,108.3249,← 310°,458,527,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:47:00 PM,22.5546,108.2724,← 310°,459,528,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:47:30 PM,22.5952,108.2197,← 310°,459,528,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:48:00 PM,22.6375,108.1667,← 313°,461,531,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:48:40 PM,22.6963,108.1007,← 314°,461,531,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:49:12 PM,22.7448,108.0454,← 313°,461,531,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:49:50 PM,22.8004,107.982,← 314°,462,532,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:50:20 PM,22.8446,107.9317,← 313°,463,533,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:50:51 PM,22.8898,107.8802,← 313°,464,534,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:51:42 PM,22.9661,107.793,← 313°,466,536,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:52:21 PM,23.0238,107.7271,← 313°,467,537,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:52:51 PM,23.0683,107.6761,← 313°,466,536,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:53:21 PM,23.1129,107.6249,← 313°,466,536,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:54:08 PM,23.1814,107.5461,← 313°,464,534,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:55:59 PM,23.2283,107.3357,← 284°,,,, Level, Estimated
Mon 01:56:23 PM,23.3801,107.3169,← 313°,461,531,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:58:17 PM,23.5459,107.1247,← 313°,456,525,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:58:47 PM,23.5887,107.0749,← 313°,454,522,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 01:59:43 PM,23.6689,106.9818,← 313°,451,519,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 02:00:38 PM,23.7479,106.8897,← 313°,450,518,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 02:01:13 PM,23.7972,106.8321,← 313°,450,518,"38,100", Level, FlightAware ADS-B (HPH / VVCI)
Mon 02:01:46 PM,23.8432,106.7783,← 313°,449,517,"38,100",-81 Descending, FlightAware ADS-B (HPH / VVCI)
Mon 02:03:49 PM,23.8921,106.5441,← 283°,,,, Level, Estimated
Mon 02:04:55 PM,23.9183,106.4184,← 283°,,,, Level, Estimated
Mon 02:05:58 PM,23.9431,106.2983,← 283°,,,, Level, Estimated
Mon 02:06:59 PM,23.9671,106.182,← 283°,,,, Level, Estimated
Mon 02:08:42 PM,24.0073,105.9856,← 283°,,,, Level, Estimated
Mon 02:09:46 PM,24.0322,105.8634,← 283°,,,, Level, Estimated
Mon 02:11:51 PM,24.0805,105.6247,← 283°,,,, Level, Estimated
Mon 02:12:59 PM,24.1067,105.4948,← 282°,,,, Level, Estimated
Mon 02:14:57 PM,24.1518,105.2692,← 282°,,,, Level, Estimated
Mon 02:17:00 PM,24.1984,105.0339,← 282°,,,, Level, Estimated
Mon 02:19:00 PM,24.2436,104.8042,← 282°,,,, Level, Estimated
Mon 02:20:57 PM,24.2873,104.5801,← 282°,,,, Level, Estimated
Mon 02:21:59 PM,24.3103,104.4612,← 282°,,,, Level, Estimated
Mon 02:24:00 PM,24.355,104.2292,← 282°,,,, Level, Estimated
Mon 02:25:55 PM,24.3971,104.0085,← 282°,,,, Level, Estimated
Mon 02:26:02 PM,24.6147,103.7047,← 282°,348,400,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:26:53 PM,24.6608,103.6022,← 296°,448,516,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:27:24 PM,24.6894,103.5374,← 296°,447,514,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:27:54 PM,24.717,103.4754,← 296°,447,514,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:28:25 PM,24.7445,103.4136,← 296°,448,516,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:28:55 PM,24.7717,103.3524,← 296°,450,518,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:29:25 PM,24.7994,103.2899,← 296°,450,518,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:29:55 PM,24.8268,103.2278,← 296°,450,518,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:30:26 PM,24.8547,103.1647,← 296°,449,517,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:30:56 PM,24.8818,103.1032,← 296°,448,516,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:31:27 PM,24.9094,103.0405,← 296°,448,516,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:31:57 PM,24.9367,102.9785,← 296°,450,518,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:32:29 PM,24.9667,102.9103,← 296°,452,520,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:33:00 PM,24.9943,102.8473,← 296°,452,520,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:33:30 PM,25.022,102.784,← 295°,450,518,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:34:03 PM,25.0463,102.7164,← 288°,442,509,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:34:40 PM,25.0642,102.6354,← 280°,437,503,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:35:13 PM,25.0717,102.5617,← 273°,434,499,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:35:43 PM,25.0716,102.4982,← 267°,433,498,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:36:15 PM,25.0643,102.427,← 260°,433,498,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:36:50 PM,25.0478,102.3514,← 253°,433,498,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:37:20 PM,25.0274,102.2905,← 247°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:37:57 PM,24.9939,102.2175,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:38:27 PM,24.9656,102.158,↙ 243°,430,495,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:38:58 PM,24.9377,102.0991,↙ 242°,430,495,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:39:28 PM,24.9103,102.0418,↙ 242°,429,494,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:39:58 PM,24.8823,101.9835,↙ 242°,429,494,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:40:29 PM,24.8539,101.9242,↙ 242°,432,497,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:40:59 PM,24.8253,101.8648,↙ 242°,432,497,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:41:30 PM,24.7971,101.8063,↙ 242°,433,498,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:42:29 PM,24.7409,101.6898,↙ 242°,432,497,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:43:00 PM,24.712,101.6299,↙ 242°,432,497,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:43:31 PM,24.6837,101.5715,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:44:01 PM,24.655,101.5124,↙ 242°,432,497,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:44:31 PM,24.6262,101.4538,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:45:30 PM,24.5702,101.3407,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:46:00 PM,24.542,101.2837,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:46:32 PM,24.5114,101.2218,↙ 242°,430,495,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:47:03 PM,24.4819,101.1623,↙ 242°,431,496,"36,100", Level, FlightAware ADS-B (KMG / ZPPP)
Mon 02:47:58 PM,24.429,101.0558,↙ 242°,432,497,"36,100",-2 Descending, FlightAware ADS-B (KMG / ZPPP)
Mon 02:49:56 PM,24.4694,100.8286,← 281°,,,, Level, Estimated
Mon 02:50:57 PM,24.4902,100.7111,← 281°,,,, Level, Estimated
Mon 02:52:54 PM,24.5298,100.4856,← 281°,,,, Level, Estimated
Mon 02:53:58 PM,24.5514,100.3621,← 281°,,,, Level, Estimated
Mon 02:55:58 PM,24.5915,100.1307,← 281°,,,, Level, Estimated
Mon 02:57:47 PM,24.6276,99.9202,← 281°,,,, Level, Estimated
Mon 02:58:53 PM,24.6493,99.7928,← 281°,,,, Level, Estimated
Mon 02:59:53 PM,24.6689,99.6769,← 281°,,,, Level, Estimated
Mon 03:00:57 PM,24.6898,99.5532,← 281°,,,, Level, Estimated
Mon 03:01:58 PM,24.7096,99.4353,← 280°,,,, Level, Estimated
Mon 03:03:54 PM,24.747,99.2109,← 280°,,,, Level, Estimated
Mon 03:05:49 PM,24.7837,98.9884,← 280°,,,, Level, Estimated
Mon 03:06:58 PM,24.8056,98.8548,← 280°,,,, Level, Estimated
Mon 03:08:42 PM,24.8384,98.6533,← 280°,,,, Level, Estimated
Mon 03:09:50 PM,24.8597,98.5216,← 280°,,,, Level, Estimated
Mon 03:10:54 PM,24.8796,98.3975,← 280°,,,, Level, Estimated
Mon 03:11:59 PM,24.8997,98.2715,← 280°,,,, Level, Estimated
Mon 03:13:49 PM,24.9335,98.0581,← 280°,,,, Level, Estimated
Mon 03:14:56 PM,24.954,97.928,← 280°,,,, Level, Estimated
Mon 03:15:56 PM,24.9722,97.8116,← 280°,,,, Level, Estimated
Mon 03:17:53 PM,25.0074,97.5843,← 280°,,,, Level, Estimated
Mon 03:18:57 PM,25.0266,97.46,← 280°,,,, Level, Estimated
Mon 03:19:58 PM,25.0447,97.3414,← 280°,,,, Level, Estimated
Mon 03:21:57 PM,25.0799,97.11,← 280°,,,, Level, Estimated
Mon 03:23:59 PM,25.1155,96.8726,← 279°,,,, Level, Estimated
Mon 03:25:51 PM,25.1479,96.6546,← 279°,,,, Level, Estimated
Mon 03:26:51 PM,25.1651,96.5377,← 279°,,,, Level, Estimated
Mon 03:27:57 PM,25.1839,96.4091,← 279°,,,, Level, Estimated
Mon 03:28:59 PM,25.2015,96.2883,← 279°,,,, Level, Estimated
Mon 03:30:54 PM,25.2339,96.0641,← 279°,,,, Level, Estimated
Mon 03:31:55 PM,25.2509,95.9452,← 279°,,,, Level, Estimated
Mon 03:33:59 PM,25.2853,95.7032,← 279°,,,, Level, Estimated
Mon 03:35:53 PM,25.3165,95.4807,← 279°,,,, Level, Estimated
Mon 03:36:57 PM,23.4331,94.7867,← 271°,450,518,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:37:30 PM,23.4344,94.7125,← 271°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:38:00 PM,23.4354,94.648,← 271°,443,510,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:38:30 PM,23.4366,94.5801,← 271°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:39:08 PM,23.438,94.4949,← 271°,445,512,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:40:55 PM,23.4415,94.2562,← 271°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:41:50 PM,23.4432,94.1344,← 271°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:42:26 PM,23.4442,94.0536,← 271°,440,506,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:42:56 PM,23.4451,93.9887,← 271°,440,506,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:43:26 PM,23.4459,93.9201,← 271°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:44:01 PM,23.4468,93.8453,← 271°,440,506,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:44:31 PM,23.4476,93.7773,← 271°,439,505,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:45:01 PM,23.4483,93.7116,← 271°,437,503,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:45:31 PM,23.449,93.645,← 271°,439,505,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:46:01 PM,23.4497,93.5782,← 271°,440,506,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:46:31 PM,23.4503,93.5117,← 271°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:47:04 PM,23.4556,93.4411,← 279°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:47:59 PM,23.4784,93.3192,← 281°,443,510,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:48:30 PM,23.491,93.2516,← 281°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:49:00 PM,23.5032,93.1864,← 282°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:49:30 PM,23.5155,93.1209,← 282°,437,503,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:50:00 PM,23.5275,93.0568,← 281°,434,499,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:50:30 PM,23.5396,92.9925,← 282°,433,498,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:51:00 PM,23.5513,92.9294,← 281°,435,501,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:51:30 PM,23.5637,92.8631,← 281°,436,502,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:52:01 PM,23.5758,92.798,← 281°,439,505,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:52:32 PM,23.5882,92.7312,← 281°,438,504,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:53:02 PM,23.6002,92.6661,← 281°,438,504,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:53:32 PM,23.6124,92.6003,← 282°,438,504,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:54:02 PM,23.6257,92.5363,← 283°,438,504,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:54:32 PM,23.6396,92.4718,← 283°,438,504,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:55:02 PM,23.6532,92.4069,← 283°,439,505,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:55:33 PM,23.6667,92.3415,← 283°,441,507,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:56:03 PM,23.6803,92.2757,← 283°,442,509,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:56:33 PM,23.6938,92.2104,← 283°,443,510,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:57:04 PM,23.7075,92.1437,← 283°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:57:34 PM,23.7208,92.0788,← 283°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:58:04 PM,23.7345,92.0118,← 283°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:58:34 PM,23.7477,91.9471,← 283°,443,510,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:59:04 PM,23.761,91.8821,← 283°,444,511,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 03:59:34 PM,23.7746,91.8153,← 283°,445,512,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 04:00:05 PM,23.7881,91.7487,← 282°,446,513,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 04:00:35 PM,23.8013,91.6833,← 282°,445,512,"36,000", Level, FlightAware ADS-B (DAC / VGHS)
Mon 04:01:09 PM,23.8168,91.6065,← 282°,443,510,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:01:39 PM,23.8301,91.5403,← 282°,442,509,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:02:09 PM,23.8434,91.4744,← 282°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:02:39 PM,23.8562,91.4104,← 282°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:03:09 PM,23.8693,91.3444,← 282°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:03:39 PM,23.8823,91.2794,← 282°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:04:09 PM,23.8953,91.2141,← 282°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:04:39 PM,23.9098,91.1478,← 284°,441,507,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:05:09 PM,23.9242,91.0841,← 284°,440,506,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:05:39 PM,23.9382,91.0201,← 283°,439,505,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:06:09 PM,23.9524,90.9551,← 283°,440,506,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:06:39 PM,23.9666,90.8894,← 283°,442,509,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:07:10 PM,23.9809,90.8234,← 283°,443,510,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
Mon 04:07:40 PM,23.9953,90.7571,← 283°,443,510,"36,000", Level, FlightAware ADS-B (IXA / VEAT)
